id,ref,title,url,open_date,type,category,department,business_unit,industry,function,city,country,x,y,description
16611682,JREQ161988,Implementation Consultant,Full_time,2022-09-01T08:05:39.613Z,Full_time,Professional & Consulting Services,Corporates-ALL,Corporates Professional Services,Television Broadcasting,Consulting,Hyderabad,IN,78.4867,17.385,
16598888,JREQ162703,Associate Sales Executive,Full_time,2022-08-30T21:05:25.36Z,Full_time,Sales,Tax&Accounting Professionals-ALL,Tax&Acctg Small-Mid Firms-ALL,Television Broadcasting,Sales General,Eagan,US,-93.1669,44.8041,
16593033,JREQ162540,China Breaking News Correspondent,Full_time,2022-08-30T09:06:36.617Z,Full_time,News & Editorial,Reuters - ALL,Reuters Editorial,Television Broadcasting,Editor,Beijing,CN,116.407,39.9042,
16583420,JREQ161892,Sr. Implementation Consultant - GTM,Full_time,2022-08-29T08:06:26.18Z,Full_time,Technology Development,Corporates-ALL,Corporates Professional Services,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385,
16539168,JREQ162317,Salesforce (HVS) - Implementation and Adoption Specialist,Full_time,2022-08-23T06:06:54.37Z,Full_time,Technology Development,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385,
15611843,JREQ158127,Senior Sales Executive,Full_time,2022-08-12T15:05:02.81Z,Full_time,Sales,Tax&Accounting Professionals-ALL,Tax&Acctg Small-Mid Firms-ALL,Television Broadcasting,Sales General,Eagan,US,-93.1669,44.8041,
16438938,JREQ160845,Sr. Consultant- One Stream,Full_time,2022-08-09T04:15:27.247Z,Full_time,Accounting & Finance,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Accounting General,Hyderabad,IN,78.4867,17.385,
16429780,JREQ161606,Pasante Customer Succes - Legal,Part_time,2022-08-07T16:06:20.747Z,Part_time,Graduates/Interns,LatAm-ALL,LatAm Segment,Television Broadcasting,Intern,Buenos Aires,AR,-58.3816,-34.6037,
16406511,JREQ161833,DevOps Engineer,Full_time,2022-08-04T03:03:40.883Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - CIO-ALL,Television Broadcasting,Computers General,Bangalore,IN,77.5946,12.9716,
16399770,JREQ160764,Senior Product Manager - Search & Network Advertising,Full_time,2022-08-03T17:14:59.933Z,Full_time,Product Management,Product-ALL,Product - Legal Practice and Productivity,Television Broadcasting,Product Manager,Eagan,US,-93.1669,44.8041,
16382895,JREQ161201,Consultant (Indirect Tax),Full_time,2022-08-02T04:16:18.817Z,Full_time,Professional & Consulting Services,Asia & Emerging Markets-ALL,AEM Professional Services,Television Broadcasting,Consulting,Bengaluru,IN,77.5946,12.9716,
16373070,JREQ161561,Business Analyst - Target & Territory Design,Full_time,2022-08-01T14:04:41.107Z,Full_time,Accounting & Finance,Enabling Functions-ALL,Commercial Excellence-ALL,Television Broadcasting,Accounting General,Mexico City,MX,-99.1332,19.4326,
16374044,JREQ160263,QA Software Test Engineer,Full_time,2022-08-01T12:13:05.343Z,Full_time,Technology Development,Reuters - ALL,Reuters Technology-ALL,Television Broadcasting,Computers General,Bangalore,IN,77.5946,12.9716,
16338981,JREQ160989,Back End Software Engineer,Full_time,2022-07-27T04:13:58.06Z,Full_time,Technology Development,Reuters - ALL,Reuters Technology-ALL,Television Broadcasting,Computers General,Bengaluru,IN,77.5946,12.9716,
16327718,JREQ160893,API Engineer – Reuters Technology,Full_time,2022-07-26T06:06:07.147Z,Full_time,Technology Development,Reuters - ALL,Reuters Technology-ALL,Television Broadcasting,Computers General,Bangalore,IN,77.5946,12.9716,
16320645,JREQ159023,"Architect, Tax and Accounting Professionals",Full_time,2022-07-25T11:11:12.417Z,Full_time,Technology Development,Operations & Technology-ALL,Technology - Product Engineering-ALL,Television Broadcasting,Computers General,São Paulo,BR,-46.6333,-23.5505,
16298045,JREQ161367,Sales Representative,Full_time,2022-07-21T12:04:34.253Z,Full_time,Sales,Legal Professionals-ALL,LatAm - Legal,Television Broadcasting,Sales General,Buenos Aires,AR,-58.3816,-34.6037,
16276405,JREQ161627,"Reader Revenue Operations Manager,  Reuters Professional",Full_time,2022-07-19T18:04:20.12Z,Full_time,Marketing,Reuters - ALL,Reuters Marketing-ALL,Television Broadcasting,Marketing General,New York,US,-74.0059,40.7128,
16276404,JREQ161625,"Director of Global Reader Revenue, Reuters Professional",Full_time,2022-07-19T18:04:19.847Z,Full_time,Marketing,Reuters - ALL,Reuters Marketing-ALL,Television Broadcasting,Marketing General,New York,US,-74.0059,40.7128,
16253381,JREQ161121,"Reader Revenue Operations Manager, Reuters Professional",Full_time,2022-07-15T17:07:41.277Z,Full_time,Marketing,Reuters - ALL,Reuters Marketing-ALL,Television Broadcasting,Marketing General,London,GB,-0.127758,51.5074,
16244751,JREQ161360,Pasante Customer Experience - Tax & Accounting,Part_time,2022-07-14T17:15:15.557Z,Part_time,Graduates/Interns,LatAm-ALL,LatAm Segment,Television Broadcasting,Intern,Buenos Aires,AR,-58.3816,-34.6037,
16242700,JREQ161124,Assistant Manager Finance-FP&A,Full_time,2022-07-14T10:04:49.623Z,Full_time,Accounting & Finance,Enabling Functions-ALL,Enabling Functions Finance-ALL,Television Broadcasting,Accounting General,Hyderabad,IN,78.4867,17.385,
16232713,JREQ160928,Sr. Software Engineer - .Net Full-Stack,Full_time,2022-07-13T07:03:16.263Z,Full_time,Technology Development,Corporates-ALL,Corporates Professional Services,Television Broadcasting,Computers General,Hyderabad,IN,78.4867,17.385,
